accession_number,dataset_url,dataset_name,num_subjects,modalities,dx_status,ages,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author
ds004786,https://openneuro.org/datasets/ds004786/versions/1.0.1,MorphoSem,40,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Ziegler, Johannes C."
ds004787,https://openneuro.org/datasets/ds004787/versions/1.1.0,NIMH METeR (Multi-Echo Test-Retest),5,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 51-65",,,"Pine, Danny"
ds004789,https://openneuro.org/datasets/ds004789/versions/3.1.0,Delayed Free Recall of Word Lists,280,iEEG,,"18-25, 26-34, 35-50, 51-65",,,"Kahana, Michael J."
ds004791,https://openneuro.org/datasets/ds004791/versions/1.0.0,"Kwok et al., 2023, Human Brain Mapping",68,"MRI - func, MRI - anat",,,DOI 10.17605/OSF.IO/Y763R,"Kwok et al., 2023, Human Brain Mapping","Ansari, Daniel"
ds004795,https://openneuro.org/datasets/ds004795/versions/1.0.0,Simulated motion artifacts based on the (MR-ART) dataset (https://openneuro.org/datasets/ds004173/versions/1.0.2),148,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,,"Waiczies, Sonia"
ds004796,https://openneuro.org/datasets/ds004796/versions/1.0.9,"A Polish Electroencephalography, Alzheimer’s Risk-genes, Lifestyle and Neuroimaging (PEARL-Neuro) Database",79,"MRI - func, EEG",,"35-50, 51-65",,,"Ewa, Kublik"
ds004797,https://openneuro.org/datasets/ds004797/versions/1.0.0,Functional imaging,10,"MRI - anat, MRI - func",,,,,"CQ, "
ds004798,https://openneuro.org/datasets/ds004798/versions/1.0.5,"Multimodal brain responses during movie watching: single-neuron, intracranial EEG, and fMRI in human patients",15,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65, 66+",,,"Rutishauser, Ueli"
ds004802,https://openneuro.org/datasets/ds004802/versions/1.0.0,Pilot data for Loneliness in the Brain: Distinguishing Between Hypersensitivity and Hyperalertness,38,EEG,,,,,"Otten, Marte"
ds004808,https://openneuro.org/datasets/ds004808/versions/1.0.0,Brainstem fMRI signaling of surprise across different types of deviant stimuli,24,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",https://osf.io/td5kp/,,"Meyniel, Florent"
ds004809,https://openneuro.org/datasets/ds004809/versions/2.2.0,Categorized Free Recall: Delayed Free Recall of Word Lists Organized by Semantic Categories,258,iEEG,,"18-25, 26-34, 35-50, 51-65",,,"Kahana, Michael J."
ds004814,https://openneuro.org/datasets/ds004814/versions/1.0.0,High-res gradient echo EPI and 3D GRASE data of auditory cortex,6,"MRI - func, MRI - anat",,,,https://doi.org/10.1016/j.neuroimage.2017.03.063; https://doi.org/10.1523/JNEUROSCI.3576-17.2018; https://doi.org/10.1038/s41598-019-41965-w,"Yacoub, Essa"
ds004815,https://openneuro.org/datasets/ds004815/versions/1.0.1,Selective attention sharpens population receptive fields in human auditory cortex,8,"MRI - func, MRI - anat",,"18-25, 26-34",,https://doi.org/10.1093/cercor/bhac427,"Moerel, Michelle"
ds004816,https://openneuro.org/datasets/ds004816/versions/1.0.1,EEG-attention-rsvp-exp1,20,EEG,,"18-25, 26-34, 35-50",https://doi.org/10.51628/001c.21174,,"Carlson, Thomas"
ds004817,https://openneuro.org/datasets/ds004817/versions/1.0.1,EEG-attention-rsvp-exp2,20,EEG,,"18-25, 26-34, 35-50",https://doi.org/10.51628/001c.21174,,"Carlson, Thomas"
ds004819,https://openneuro.org/datasets/ds004819/versions/1.0.0,"Flexible, Scalable, High Channel Count Stereo-Electrode for Recording in the Human Brain",1,iEEG,,45613,10.1101/2022.11.08.515705,,"Dayeh, Shadi. A."
ds004829,https://openneuro.org/datasets/ds004829/versions/1.0.1,Concurrent response and action effect representations across the somatomotor cortices during novel task preparation.,30,"MRI - func, MRI - anat",,,,,"Brass, Marcel"
ds004830,https://openneuro.org/datasets/ds004830/versions/1.0.0,Spatial Attention fNIRS Dataset,12,NIRS,,,,1 dataset paper manuscript to be submitted,"Sen, Kamal"
ds004835,https://openneuro.org/datasets/ds004835/versions/1.0.0,Processing of frequency and location in human subcortical auditory structures,6,"MRI - func, MRI - anat",,"18-25, 26-34",,doi: 10.1038/srep17048,"Formisano, Elia"
ds004837,https://openneuro.org/datasets/ds004837/versions/1.0.0,Magnetoencephalographic (MEG) Pitch and Duration Mismatch Negativity (MMN) in First-Episode Psychosis,60,"MRI - anat, MEG",Schizophrenia,,https://doi.org/10.1111/ejn.16107,Is source-resolved magnetoencephalographic mismatch negativity a viable biomarker for early psychosis?,"Salisbury, Dean"
ds004840,https://openneuro.org/datasets/ds004840/versions/1.0.1,"Dataset of electrophysiological signals (EEG, ECG, EMG) during Music therapy with adult burn patients in the Intensive Care Unit.",9,EEG,Burns,"18-25, 26-34, 35-50, 51-65",,,"Ettenberger, Mark"
ds004841,https://openneuro.org/datasets/ds004841/versions/1.0.1,TX14,20,EEG,,,,,"King, Kevin"
ds004842,https://openneuro.org/datasets/ds004842/versions/1.0.0,TX15,14,EEG,,,,,"King, Kevin"
ds004843,https://openneuro.org/datasets/ds004843/versions/1.0.0,T16,14,EEG,,,,,"King, Kevin"
ds004844,https://openneuro.org/datasets/ds004844/versions/1.0.0,T22,17,EEG,,,,,"King, Kevin"
ds004848,https://openneuro.org/datasets/ds004848/versions/1.0.1,Game of Thrones - A naturalistic viewing dataset,73,"MRI - func, MRI - anat",,,,,"Andrews, Timothy"
ds004849,https://openneuro.org/datasets/ds004849/versions/1.0.0,STRONG,1,EEG,,,,,"King, Kevin"
ds004850,https://openneuro.org/datasets/ds004850/versions/1.0.0,ODE,1,EEG,,,,,"King, Kevin"
ds004851,https://openneuro.org/datasets/ds004851/versions/2.1.0,HID,66,EEG,,,,,"King, Kevin"
ds004852,https://openneuro.org/datasets/ds004852/versions/1.0.0,InsurgentCivilian,1,EEG,,,,,"King, Kevin"
ds004853,https://openneuro.org/datasets/ds004853/versions/1.0.0,TX17,1,EEG,,,,,"King, Kevin"
ds004854,https://openneuro.org/datasets/ds004854/versions/1.0.0,TX18,1,EEG,,,,,"King, Kevin"
ds004855,https://openneuro.org/datasets/ds004855/versions/1.0.0,FT,1,EEG,,,,,"King, Kevin"
ds004856,https://openneuro.org/datasets/ds004856/versions/1.2.0,The Dallas Lifespan Brain Study,464,"MRI - func, MRI - anat, MRI - dwi, MRI - perf, PET",Healthy / Control,,,,"Wig, Gagan"
ds004859,https://openneuro.org/datasets/ds004859/versions/1.0.0,iEEG on children during Stroop task,7,iEEG,,"0-10, 11-17",,,"Asano, Eishi"
ds004860,https://openneuro.org/datasets/ds004860/versions/1.0.0,Investigating the cognitive conflict triggered by moral judgment of accidental harm : an event-related potentials study,31,EEG,Healthy / Control,"18-25, 26-34, 35-50",,,"Tremoliere, Bastien"
ds004865,https://openneuro.org/datasets/ds004865/versions/2.0.1,"pyFR: Delayed Free Recall of Word Lists, Preliminary Cognitive Electrophysiology Study",49,iEEG,,"11-17, 18-25, 26-34, 35-50, 51-65",,,"Kahana, Michael J."
ds004866,https://openneuro.org/datasets/ds004866/versions/1.0.0,Shanxi Enculturation,5,"MRI - func, MRI - anat",Healthy / Control,"18-25, 35-50, 51-65","10.1162/jocn_a_01858,10.48550/arXiv.2305.09057,10.48550/arXiv.2305.13226",https://digitalcommons.dartmouth.edu/dissertations/173/,"Casey, Michael A."
ds004868,https://openneuro.org/datasets/ds004868/versions/1.0.2,ds004868,10,"MRI - anat, PET",,,,,"Zanotti-Fregonara, Paolo"
ds004869,https://openneuro.org/datasets/ds004869/versions/1.1.1,"Positron emission tomography (PET) quantification in healthy humans of cyclooxygenase-2 (COX-2), a potential biomarker of neuroinflammation",27,"MRI - anat, PET",,"18-25, 26-34, 35-50, 51-65",,,"Zanotti-Fregonara, Paolo"
ds004872,https://openneuro.org/datasets/ds004872/versions/1.0.3,Emo-FilM Annotations,44,,,"18-25, 26-34, 35-50",,,"Ville, Dimitri Van De"
ds004873,https://openneuro.org/datasets/ds004873/versions/2.0.3,Two distinct modes of hemodynamic responses in the human brain,40,"MRI - anat, MRI - func",Healthy / Control,"18-25, 26-34, 35-50, 51-65",,,"Riedl, Valentin"
ds004883,https://openneuro.org/datasets/ds004883/versions/1.0.0,Registerd Report of ERN During Three Versions of a Flanker Task,172,EEG,Healthy / Control,,,,"Larson, Michael J."
ds004884,https://openneuro.org/datasets/ds004884/versions/1.0.2,Aphasia Recovery Cohort (ARC) Dataset,230,"MRI - dwi, MRI - func, MRI - anat",,,,,"Rorden, Chris"
ds004889,https://openneuro.org/datasets/ds004889/versions/1.1.2,Stroke Outcome Optimization Project (SOOP),1715,"MRI - dwi, MRI - anat",,"11-17, 18-25, 26-34, 35-50, 51-65, 66+",,,"Newman-Norlund, Roger"
ds004892,https://openneuro.org/datasets/ds004892/versions/1.0.0,Emo-FilM,30,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Ville, Dimitri Van De"
ds004894,https://openneuro.org/datasets/ds004894/versions/1.0.0,Heart rate and insula activity increase in response to music in individuals with high interoceptive sensitivity,49,"MRI - func, MRI - anat",,,,,"Yamawaki, Shigeto"
ds004902,https://openneuro.org/datasets/ds004902/versions/1.0.5,A Resting-state EEG Dataset for Sleep Deprivation,71,EEG,Healthy / Control,,,,"Lei, Xu"
ds004906,https://openneuro.org/datasets/ds004906/versions/2.4.0,rf_shimming_spinalcord,5,MRI - anat,,,,,"Cohen-Adad, Julien"
ds004909,https://openneuro.org/datasets/ds004909/versions/1.1.0,PACT_fMRI,29,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Shenhav, Amitai"
ds004910,https://openneuro.org/datasets/ds004910/versions/1.0.1,An open relaxation-diffusion MRI dataset in neurosurgical studies,20,"MRI - dwi, MRI - anat",Healthy / Control,"26-34, 35-50, 51-65, 66+",,,"Zhang, Fan"
ds004913,https://openneuro.org/datasets/ds004913/versions/1.0.0,Optogenetic functional magnetic resonance imaging reveals therapeutic feedforward circuits of the subthalamic nucleus deep brain stimulation in the hemi-parkinsonian rat,9,"MRI - func, MRI - anat",PD,,,,"Grill, Warren M."
ds004917,https://openneuro.org/datasets/ds004917/versions/1.0.1,Probability Decision-making Task with ambiguity,53,"MRI - anat, MRI - dwi, MRI - func, EEG",,"18-25, 26-34",10.1371/journal.pbio.3002452,10.1371/journal.pbio.3002452,"Billeke, Pablo"
ds004920,https://openneuro.org/datasets/ds004920/versions/1.1.1,Data in Brief - ISTART,59,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Jarcho, Johanna"
ds004926,https://openneuro.org/datasets/ds004926/versions/1.3.0,Reliability 3T fMRI experiment,40,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Eippert, Falk"
ds004928,https://openneuro.org/datasets/ds004928/versions/1.0.0,Predictive Processing in the Auditory Cortex measured at 7T,10,"MRI - func, MRI - anat",,"26-34, 35-50, 66+",,,"Martino, Federico De"
ds004929,https://openneuro.org/datasets/ds004929/versions/1.0.0,BallSqueezingHD,12,NIRS,Healthy / Control,,https://doi.org/10.1117/1.NPh.10.2.025007,"Yuanyuan Gao, De’Ja Rogers, Alexander von Lühmann, Antonio Ortega-Martinez, David A. Boas, Meryem A. Yücel, Short-separation regression incorporated diffuse optical tomography image reconstruction modeling for high-density functional near-infrared spectroscopy, Neurophoton. 10(2) 025007 (23 May 2023)","Yücel, Meryem A."
ds004934,https://openneuro.org/datasets/ds004934/versions/1.0.0,fMRI dataset: Violations of psychological and physical expectations in human adult brains,44,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",https://doi.org/10.31234/osf.io/54x6b,,"Saxe, Rebecca"
ds004937,https://openneuro.org/datasets/ds004937/versions/1.0.1,Effects of a seven-week running intervention with moderate intensity on the volume of the hippocampus and depressive symptoms in young men from the general population.,22,MRI - anat,Healthy / Control,"18-25, 26-34",,,"Fink, Andreas"
ds004942,https://openneuro.org/datasets/ds004942/versions/1.0.0,SpatialMemory,62,EEG,Young/Old,,,Event-related Theta and Gamma Band Oscillatory Dynamics During Visuo-spatial Sequence Memory in Younger and Older Adults,"McGill, Makenna"
ds004943,https://openneuro.org/datasets/ds004943/versions/1.0.2,Characterisation of laminar and vascular spatiotemporal dynamics of CBV and BOLD signals using VASO and ME-GRE at 7T in humans,5,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50",,,"Goebel, Rainer"
ds004944,https://openneuro.org/datasets/ds004944/versions/1.1.0,Dataset of BCI2000-compatible intraoperative ECoG with neuromorphic encoding,22,iEEG,Epilepsy,"0-10, 11-17, 18-25, 26-34, 35-50, 66+",,https://doi.org/10.1016/j.clinph.2019.07.008 https://doi.org/10.21203/rs.3.rs-3591328/v1,"Sarnthein, Johannes"
ds004945,https://openneuro.org/datasets/ds004945/versions/1.0.0,PyDesigner Example Dataset,1,MRI - dwi,Healthy / Control,,,,"Thorn, Kathryn"
ds004946,https://openneuro.org/datasets/ds004946/versions/1.0.0,Brain mechanisms disciminating enactive mental simulations of runnning and plogging,103,"MRI - func, MRI - anat",,,,,"Brevers, Damien"
ds004951,https://openneuro.org/datasets/ds004951/versions/1.0.0,Braille letters - EEG,11,EEG,,"26-34, 35-50, 51-65",,,"Cichy, Radoslaw M."
ds004952,https://openneuro.org/datasets/ds004952/versions/1.2.0,Novel Reading,10,EEG,,,,,"Wu, Haiyan"
ds004956,https://openneuro.org/datasets/ds004956/versions/1.0.1,Braille letters - fMRI,15,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",,,"Cichy, Radoslaw M."
ds004957,https://openneuro.org/datasets/ds004957/versions/1.0.2,A comparison of denoising approaches for spoken word production related artefacts in continuous multiband fMRI data,18,"MRI - func, MRI - anat",Healthy / Control,,,,"Zubicaray, Greig de"
ds004958,https://openneuro.org/datasets/ds004958/versions/1.0.0,The FreeSurfer Maintenance Dataset,34,"MRI - anat, MRI - dwi, MRI - func",,"18-25, 26-34, 35-50, 51-65, 66+",,,"Fischl, Bruce"
ds004959,https://openneuro.org/datasets/ds004959/versions/1.0.0,Probing hippocampal stimulation in experimental temporal lobe epilepsy with functional MRI,10,"MRI - func, MRI - anat",,,,,"Haas, Carola A."
ds004962,https://openneuro.org/datasets/ds004962/versions/1.0.0,MRI dataset evaluating the effect of head down tilt 15° on cerebral perfusion in acute ischemic experimental stroke,28,"MRI - anat, MRI - dwi",,,,,"BERETTA, Simone"
ds004965,https://openneuro.org/datasets/ds004965/versions/1.0.1,Truecrime,133,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50, 51-65",,,"Fink, Andreas"
ds004973,https://openneuro.org/datasets/ds004973/versions/1.0.1,An fNIRS dataset for driving risk cognition of passengers in highly automated driving scenarios,20,NIRS,Other,,,An fNIRS dataset for driving risk cognition of 1 passengers in highly automated driving scenarios,"Wang, Hong"
ds004977,https://openneuro.org/datasets/ds004977/versions/1.2.0,CARLA: Adjusted common average referencing for cortico-cortical evoked potential data,4,iEEG,Epilepsy,"11-17, 18-25",https://doi.org/10.48550/arXiv.2310.00185,,"Hermes, Dora"
ds004980,https://openneuro.org/datasets/ds004980/versions/1.0.0,EEG data set for a architectural affordances task,17,EEG,Healthy / Control,"18-25, 26-34",Not yet,Human Brain Dynamics Dissociate Early Perceptual and Late Motor-Related Stages of Affordance Processing,"Gramann, K."
ds004993,https://openneuro.org/datasets/ds004993/versions/1.1.2,"WIRED ICM Sample Dataset - Workshop on Intracranial Recordings in Humans, Epilepsy, DBS",3,"MRI - anat, iEEG",epilepsy,"11-17, 18-25",,,"Field, Alyssa"
ds004995,https://openneuro.org/datasets/ds004995/versions/1.0.2,The Time-Course of Food Representation in the Human Brain,20,EEG,,,https://doi.org/10.1101/2023.06.06.543985,https://doi.org/10.1101/2023.06.06.543985,"Carlson, Thomas A."
ds004996,https://openneuro.org/datasets/ds004996/versions/1.0.2,NeuroEngage,51,MRI - anat,,"18-25, 26-34, 35-50",,,"Pereira, André"
ds004998,https://openneuro.org/datasets/ds004998/versions/1.2.2,Exploring the electrophysiology of Parkinson's disease - magnetoencephalography combined with deep brain recordings from the subthalamic nucleus.,20,MEG,Parkinson,,,,"Hirschmann, Jan"
ds005003,https://openneuro.org/datasets/ds005003/versions/1.0.5,Retrospective Task/Rest fMRI Data from Tumor Patients,41,"MRI - func, MRI - anat",brain tumors,,"https://doi.org/10.1371/journal.pone.0236423, https://doi.org/10.1016%2Fj.nic.2017.06.011","https://doi.org/10.1371/journal.pone.0236423, https://doi.org/10.1016%2Fj.nic.2017.06.011","Park, Ki Yun"
ds005007,https://openneuro.org/datasets/ds005007/versions/1.0.0,Auditory naming task with questions that begin or end with a wh-interrogative,40,iEEG,Other,"0-10, 11-17, 18-25, 26-34, 35-50, 51-65",,,"Asano, Eishi"
ds005009,https://openneuro.org/datasets/ds005009/versions/1.0.0,"Simultaneous cortical, subcortical, and brainstem mapping of sensory activation",15,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Bright, Molly G"
ds005012,https://openneuro.org/datasets/ds005012/versions/1.0.3,Adolescent Health Risk Behavior Study,60,"MRI - func, MRI - anat",,"11-17, 18-25",,,"Keating, Daniel P."
ds005016,https://openneuro.org/datasets/ds005016/versions/1.1.1,MBSR,147,"MRI - func, MRI - dwi, MRI - anat",,,,,"Keaser, Michael"
ds005017,https://openneuro.org/datasets/ds005017/versions/1.0.1,POP,39,"MRI - func, MRI - anat",,,,,"name, "
ds005021,https://openneuro.org/datasets/ds005021/versions/1.2.1,Tilt Illusion by Phase,36,EEG,Healthy / Control,,,Williams et al. (2024).  Effects of alpha oscillation power and phase on discrimination performance in a visual tilt illusion. Current Biology,"Harris, Anthony M."
ds005025,https://openneuro.org/datasets/ds005025/versions/2.4.3,Traveling Spine 7T CoilQA,21,MRI - anat,,,,,"Cohen-Adad, Julien"
ds005026,https://openneuro.org/datasets/ds005026/versions/1.0.0,Hearing loss Connectome,82,"MRI - dwi, MRI - func, MRI - anat",Healthy / Control,"35-50, 51-65, 66+",10.1016/j.neurobiolaging.2021.09.024,,"Esposito, Fabrizio"
ds005027,https://openneuro.org/datasets/ds005027/versions/1.0.3,Michigan Longitudinal Study,81,"MRI - func, MRI - anat",,,,,"Heitzeg, Mary M."
ds005028,https://openneuro.org/datasets/ds005028/versions/1.0.0,Comparing P300 Flashing paradigms in online typing with language models,11,EEG,Healthy / Control,,https://doi.org/10.1101/2022.06.24.22276882,,"Speier, William"
ds005034,https://openneuro.org/datasets/ds005034/versions/1.0.1,The effect of theta tACS on working memory,25,EEG,,"18-25, 26-34, 35-50",,,"Kasanov, Dauren"
ds005038,https://openneuro.org/datasets/ds005038/versions/1.0.3,"Modality-based Multitasking, practice data",58,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Stelzel, Christine"
ds005040,https://openneuro.org/datasets/ds005040/versions/1.2.0,Political Moralization (PMM),50,"MRI - func, MRI - anat",,,,,"Decety, Jean"
ds005047,https://openneuro.org/datasets/ds005047/versions/1.0.7,A large-scale fMRI dataset in response to short naturalistic facial expressions videos,5,"MRI - func, MRI - anat",,"26-34, 35-50",,,"Yan, Bin"
ds005048,https://openneuro.org/datasets/ds005048/versions/1.0.0,40Hz Auditory Entrainment,35,EEG,Alzheimers,,"https://doi.org/10.1038/s41598-024-63727-z, https://doi.org/10.1016/j.dib.2022.107839, https://doi.org/10.1101/2021.09.30.462389","https://doi.org/10.1038/s41598-024-63727-z, https://doi.org/10.1016/j.dib.2022.107839, https://doi.org/10.1101/2021.09.30.462389","Vahabi, Zahra"
ds005050,https://openneuro.org/datasets/ds005050/versions/1.0.0,Neural codes track prior events in a narrative and predict subsequent memory for details,40,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",https://www.biorxiv.org/content/10.1101/2024.02.13.580092v2,,"Norman, K.A."
ds005056,https://openneuro.org/datasets/ds005056/versions/1.0.0,Dataset2,25,MRI - anat,,,,,"Zelano, Christina"
ds005059,https://openneuro.org/datasets/ds005059/versions/1.0.6,Paired Associates Learning: Memory for Word Pairs in Cued Recall,72,iEEG,,"18-25, 26-34, 35-50, 51-65",,,"Kahana, Michael J."
ds005063,https://openneuro.org/datasets/ds005063/versions/1.0.0,CR DBS,1,"MRI - dwi, MRI - anat",Essential Tremor,,,,"Harel, Noam"
ds005065,https://openneuro.org/datasets/ds005065/versions/1.0.0,Heuristics in risky decision-making relate to preferential representation of information MEG data,21,MEG,,,,,"Huys, Quentin"
ds005069,https://openneuro.org/datasets/ds005069/versions/1.0.0,test,1,"MRI - func, MRI - anat",,26-34,,,"jessica, "
ds005072,https://openneuro.org/datasets/ds005072/versions/1.0.1,test,1,"MRI - func, MRI - anat",,26-34,,,"jessica, "
ds005073,https://openneuro.org/datasets/ds005073/versions/1.0.0,The Neural Basis of Visual Shape Completion in Schizophrenia and Bipolar Disorder,31,"MRI - func, MRI - anat",Schizophrenia,"18-25, 26-34, 35-50, 51-65",,,"Cole, Michael W"
ds005075,https://openneuro.org/datasets/ds005075/versions/1.0.1,Simultanous Brain and SpinalCord: and fMRI dataset during resting-state,31,"MRI - func, MRI - anat",,,,,"Doyon, Julien"
ds005077,https://openneuro.org/datasets/ds005077/versions/1.0.2,optofMRI_DRN,14,MRI - anat,,"18-25, 26-34",,,"Doya, Kenji"
ds005079,https://openneuro.org/datasets/ds005079/versions/2.0.0,The Effects of Directed Therapeutic Intent on Live and Damaged Cells,1,EEG,Healthy / Control,,,,"Fields, Chris"
ds005083,https://openneuro.org/datasets/ds005083/versions/1.0.0,Safety and Accuracy of Stereoelectroencephalography for Pediatric Patients with Prior Craniotomy,60,iEEG,,,,,"Roland, Jarod L"
ds005085,https://openneuro.org/datasets/ds005085/versions/1.0.0,Sequence pilot: multiecho and multiband fMRI,10,"MRI - func, MRI - anat",,18-25,,,"..., "
ds005087,https://openneuro.org/datasets/ds005087/versions/1.0.0,rapid-hemifield-object-eeg,20,EEG,,"11-17, 18-25, 26-34, 51-65",,,"Carlson, Thomas A"
ds005088,https://openneuro.org/datasets/ds005088/versions/1.0.0,Neural Correlates of Lidocaine Analgesic (NLA) Study,27,"MRI - func, MRI - anat",Healthy / Control,,,,"Ibinson, James W."
ds005089,https://openneuro.org/datasets/ds005089/versions/1.0.1,Competition_EEG,36,EEG,Healthy / Control,"18-25, 26-34",https://doi.org/10.1016/j.neuroimage.2023.119960,https://doi.org/10.1101/2024.02.06.579112,"Ruz, Maria"
ds005090,https://openneuro.org/datasets/ds005090/versions/1.1.0,Traveling Spine 7T CoilQA Phantom,7,MRI - anat,,,,,"Cohen-Adad, Julien"
ds005093,https://openneuro.org/datasets/ds005093/versions/1.0.2,Evaluation of microglia activation related markers following a clinical course of TBS: a non-human primate study,11,PET,Healthy / Control,,,,"Doudet, Doris J"
ds005095,https://openneuro.org/datasets/ds005095/versions/1.0.1,STERNBERG,48,EEG,Healthy / Control,"18-25, 26-34",,,"Pavlov, Yuri"
ds005096,https://openneuro.org/datasets/ds005096/versions/1.0.3,Royal Brisbane_TOFMRA_Intracranial Aneurysm_Database,63,MRI - anat,Intracranial Aneurysm,,10.1038/s41598-022-27354-w https://doi.org/10.1016/j.compmedimag.2021.101888,,"Allenby, Mark C."
ds005106,https://openneuro.org/datasets/ds005106/versions/1.1.0,200 Objects Infants EEG,42,EEG,,,,,"Varlet, Manuel"
ds005107,https://openneuro.org/datasets/ds005107/versions/1.1.0,OPM-FACE,21,"MEG, beh",Healthy / Control,"18-25, 26-34",doi:10.1523/JNEUROSCI.2237-23.2024,Decoding the Temporal Structures and Interactions of Multiple Face Dimensions Using Optically Pumped Magnetometer Magnetoencephalography (OPM-MEG),"al., et"
ds005114,https://openneuro.org/datasets/ds005114/versions/1.0.0,EEG: DPX Cog Ctl Task in Acute Mild TBI,91,EEG,TBI,"18-25, 26-34, 35-50, 51-65",10.1007/s11682-019-00171-y,10.1007/s11682-019-00171-y,"Cavanagh, James F"
ds005115,https://openneuro.org/datasets/ds005115/versions/1.2.0,28andHe,1,"MRI - anat, MRI - func",Healthy / Control,,10.1523/JNEUROSCI.1856-23.2024; 10.1101/2024.04.10.588906,,"Jacobs, Emily G."
ds005118,https://openneuro.org/datasets/ds005118/versions/1.0.0,Weill Cornell Medicine Multi-echo (WCM-ME) Dataset,1,"MRI - func, MRI - anat",Healthy / Control,,,https://www.cell.com/cell-reports/pdf/S2211-1247(20)31529-1.pdf,"Liston, Conor"
ds005121,https://openneuro.org/datasets/ds005121/versions/1.0.2,Siefert2024,34,EEG,Healthy / Control,,https://doi.org/10.1523/JNEUROSCI.0022-24.2024,,"Schapiro, Anna C."
ds005123,https://openneuro.org/datasets/ds005123/versions/1.1.3,Social Reward and Aging: A Preliminary Multi-echo fMRI and Diffusion Dataset,114,"MRI - func, MRI - anat, MRI - dwi",,"18-25, 26-34, 35-50, 51-65, 66+",,,"Jarcho, Johanna M."
ds005125,https://openneuro.org/datasets/ds005125/versions/1.0.0,The brain hierarchically represents the past and future during multistep anticipation,34,"MRI - func, MRI - anat",,,,,"Aly*, Mariam"
ds005126,https://openneuro.org/datasets/ds005126/versions/1.0.3,A neuroimaging dataset during sequential color qualia similarity judgments,35,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",,,"Yamada, Makiko"
ds005127,https://openneuro.org/datasets/ds005127/versions/1.0.4,AMRI 16-N-0031 sleep1,16,MRI - anat,Healthy / Control,"18-25, 26-34",https://doi.org/10.1016/j.jneumeth.2018.09.019,,"de Zwart, Jacco A"
ds005128,https://openneuro.org/datasets/ds005128/versions/1.0.0,Deception Signaling Task,40,"MRI - func, MRI - anat",Healthy / Control,,,,"Hsu, Ming"
ds005131,https://openneuro.org/datasets/ds005131/versions/1.0.1,Evoked Responses to Elevated sounds,58,EEG,,,,,"Schoewiesner, Marc"
ds005134,https://openneuro.org/datasets/ds005134/versions/1.0.0,Sequence test for multiband DWI and magnetization transfer sequence,1,"MRI - anat, MRI - dwi, MRI - func",,35-50,,,"Raikes, Adam"
ds005138,https://openneuro.org/datasets/ds005138/versions/1.0.2,eddymotionPET,5,PET,,18-25,,,"Norgaard, Martin"
ds005139,https://openneuro.org/datasets/ds005139/versions/1.0.7,SCNU-Mandarin-Cantonese-dataset,27,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Yang, Junjie"
ds005143,https://openneuro.org/datasets/ds005143/versions/1.3.0,Spinal Cord fMRI Segmentation Database (Multi-subject),379,MRI - func,,,,,"Cohen-Adad, Julien"
ds005148,https://openneuro.org/datasets/ds005148/versions/1.1.0,WMFS,16,"MRI - func, MRI - anat",Healthy,,https://doi.org/10.7554/eLife.96386.1,https://doi.org/10.7554/eLife.96386.1,"Diedrichsen, Jörn"
ds005165,https://openneuro.org/datasets/ds005165/versions/1.0.4,Modeling short visual events through the BOLD Moments video fMRI dataset and metadata.,10,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Oliva*, Aude"
ds005169,https://openneuro.org/datasets/ds005169/versions/1.0.0,Dataset of intracranial EEG during cortical stimulation evoking visual effects,20,"MRI - anat, iEEG",Drug-resistant epilepsy,"18-25, 26-34, 35-50",https://doi.org/10.1016/j.brs.2025.05.138,,"Mindruta, Ioana"
ds005170,https://openneuro.org/datasets/ds005170/versions/1.1.2,Chisco,5,EEG,Healthy / Control,"18-25, 26-34",,,"Ding, Xiao"
ds005186,https://openneuro.org/datasets/ds005186/versions/1.1.0,Effects of environmental enrichment on brain microstructure in C58 mice (juvenile cohort),16,"MRI - dwi, MRI - anat",,,,,"Lewis, Mark H."
ds005189,https://openneuro.org/datasets/ds005189/versions/1.0.1,Search Superiority Recollection Familiarity,30,EEG,Healthy / Control,"18-25, 26-34",,,"Võ, Melissa L.-H."
